Song,Artist,Valence,Key,Mode,Danceability,Date
Everything I Wanted,Billie Eilish,0.243,6.0,0.0,0.7040000000000001,2019-11-13
Jingle Bells,Frank Sinatra,0.87,8.0,1.0,0.706,2017-10-06
Like It's Christmas,Jonas Brothers,0.61,1.0,1.0,0.725,2019-11-08
Trampoline,SHAED,0.537,7.0,0.0,0.6890000000000001,2018-09-21
Woah,Lil Baby,0.43,11.0,1.0,0.882,2019-11-08
Futsal Shuffle 2020,Lil Uzi Vert,0.29600000000000004,7.0,0.0,0.8809999999999999,2019-12-12
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,0.42,2.0,0.0,0.517,1966-12-18
Ran$om,Lil Tecca,0.226,7.0,0.0,0.745,2019-08-30
Falling,Trevor Daniel,0.23600000000000002,10.0,0.0,0.785,2018-10-05
One Man Band,Old Dominion,0.478,6.0,1.0,0.706,2019-10-25
Hot Girl Bummer,blackbear,0.685,6.0,0.0,0.782,2020-08-21
Suicidal,YNW Melly & Juice WRLD,0.235,9.0,0.0,0.735,2019-11-22
Lover,Taylor Swift,0.45299999999999996,7.0,1.0,0.359,2019-08-23
On Chill,Wale Featuring Jeremih,0.639,1.0,1.0,0.597,2019-10-11
Even Though I'm Leaving,Luke Combs,0.624,2.0,1.0,0.5539999999999999,2019-11-08
Graveyard,Halsey,0.187,11.0,0.0,0.667,2020-01-17
My Oh My,Camila Cabello Featuring DaBaby,0.38299999999999995,8.0,1.0,0.7240000000000001,2019-12-06
Juicy,Doja Cat & Tyga,0.483,0.0,1.0,0.7859999999999999,2019-11-07
Playing Games,Summer Walker,0.45899999999999996,11.0,0.0,0.726,2019-10-04
Heat,Chris Brown Featuring Gunna,0.483,0.0,1.0,0.619,2019-06-28
Into The Unknown,Idina Menzel & AURORA,0.27399999999999997,10.0,0.0,0.32299999999999995,2019-11-15
VIBEZ,DaBaby,0.777,1.0,0.0,0.768,2019-09-27
Heart On Ice,Rod Wave,0.244,10.0,0.0,0.733,2019-06-14
What If I Never Get Over You,Lady Antebellum,0.34,0.0,1.0,0.5760000000000001,2019-11-15
Camelot,NLE Choppa,0.7609999999999999,7.0,1.0,0.787,2019-09-13
Heartache Medication,Jon Pardi,0.7340000000000001,9.0,1.0,0.621,2019-09-27
Start Wit Me,Roddy Ricch & Gunna,0.408,4.0,0.0,0.8859999999999999,2019-12-06
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,0.272,1.0,0.0,0.499,2019-09-06
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",0.517,6.0,0.0,0.76,2019-08-16
Hate Me,Ellie Goulding & Juice WRLD,0.759,8.0,1.0,0.657,2019-06-26
Kinfolks,Sam Hunt,0.883,0.0,1.0,0.569,2020-04-03
Let Me Know (I Wonder Why Freestyle),Juice WRLD,0.38299999999999995,7.0,0.0,0.635,2019-12-07
Remember You Young,Thomas Rhett,0.299,6.0,1.0,0.396,2019-05-31
Death,Trippie Redd Featuring DaBaby,0.613,10.0,0.0,0.802,2019-11-22
223's,YNW Melly & 9lokknine,0.695,0.0,0.0,0.932,2019-08-09
Slide,H.E.R. Featuring YG,0.196,10.0,0.0,0.8270000000000001,2019-09-27
Easy,DaniLeigh Featuring Chris Brown,0.511,7.0,1.0,0.799,2019-05-31
Vete,Bad Bunny,0.526,1.0,1.0,0.8859999999999999,2019-11-21
Baby Sitter,DaBaby Featuring Offset,0.39399999999999996,1.0,1.0,0.852,2019-03-01
Nice To Meet Ya,Niall Horan,0.392,4.0,0.0,0.591,2019-10-04
Yellow Hearts,Ant Saunders,0.695,7.0,1.0,0.866,2019-06-18
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,0.574,1.0,1.0,0.757,2019-12-06
Candy,Doja Cat,0.209,8.0,1.0,0.6890000000000001,2018-03-30
BEST ON EARTH,Russ & BIA,0.597,5.0,0.0,0.846,2020-01-31
Tusa,Karol G & Nicki Minaj,0.574,2.0,1.0,0.8029999999999999,2019-11-07
Enemies,Post Malone Featuring DaBaby,0.667,6.0,1.0,0.542,2019-09-06
HIGHEST IN THE ROOM,Travis Scott,0.0605,7.0,0.0,0.598,2019-10-04
Bad Guy,Billie Eilish,0.562,7.0,1.0,0.701,2019-03-29
Hot,Young Thug Featuring Gunna,0.5589999999999999,0.0,0.0,0.855,2019-08-16
Only Human,Jonas Brothers,0.8740000000000001,0.0,1.0,0.795,2019-06-07
Out West,JACKBOYS Featuring Young Thug,0.309,8.0,1.0,0.802,2019-12-27
Talk,Khalid,0.34600000000000003,0.0,1.0,0.9009999999999999,2019-04-05
Beautiful People,Ed Sheeran Featuring Khalid,0.5479999999999999,5.0,0.0,0.64,2019-06-28
Suge,DaBaby,0.8440000000000001,2.0,0.0,0.8759999999999999,2019-03-01
Baby,Lil Baby & DaBaby,0.46,10.0,1.0,0.97,2019-08-16
GANG GANG,JACKBOYS & Sheck Wes,0.568,7.0,0.0,0.8590000000000001,2019-12-27
Ridin' Roads,Dustin Lynch,0.5920000000000001,9.0,1.0,0.547,2020-01-17
WHAT TO DO?,JACKBOYS Featuring Don Toliver,0.195,9.0,0.0,0.643,2019-12-27
Homesick,Kane Brown,0.409,8.0,1.0,0.701,2019-11-01
GATTI,"JACKBOYS, Pop Smoke & Travis Scott",0.47200000000000003,2.0,1.0,0.594,2019-12-27
High Fashion,Roddy Ricch Featuring Mustard,0.511,11.0,0.0,0.831,2019-12-06
TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,0.542,8.0,1.0,0.816,2019-09-27
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,0.6679999999999999,9.0,0.0,0.857,2019-07-12
I Hope,Gabby Barrett,0.377,6.0,1.0,0.466,2020-06-19
We Back,Jason Aldean,0.552,4.0,0.0,0.433,2019-11-22
Make Me Want To,Jimmie Allen,0.74,2.0,1.0,0.519,2018-10-12
homecoming queen?,Kelsea Ballerini,0.29,9.0,1.0,0.462,2020-03-20
More Hearts Than Mine,Ingrid Andress,0.361,0.0,1.0,0.375,2020-03-27
I Wish Grandpas Never Died,Riley Green,0.24,6.0,1.0,0.445,2019-09-20
Jerry Sprunger,Tory Lanez & T-Pain,0.449,0.0,0.0,0.76,2019-11-15
Loco Contigo,"DJ Snake, J. Balvin & Tyga",0.371,11.0,1.0,0.6940000000000001,2019-07-25
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",0.609,7.0,1.0,0.7859999999999999,2019-07-19
Slow Dance In A Parking Lot,Jordan Davis,0.523,7.0,1.0,0.523,2018-03-23
July,Noah Cyrus & Leon Bridges,0.322,9.0,0.0,0.708,2020-05-15
Senorita,Shawn Mendes & Camila Cabello,0.75,9.0,0.0,0.759,2019-06-21
Sucker,Jonas Brothers,0.9520000000000001,1.0,0.0,0.8420000000000001,2019-06-07
No Idea,Don Toliver,0.35,6.0,0.0,0.652,2020-03-13
U Played,MoneyBagg Yo Featuring Lil Baby,0.8809999999999999,2.0,1.0,0.8740000000000001,2020-01-10
SUGAR,BrockHampton,0.516,1.0,1.0,0.45299999999999996,2019-08-23
What She Wants Tonight,Luke Bryan,0.716,8.0,0.0,0.484,2019-10-24
Peta,Roddy Ricch Featuring Meek Mill,0.26899999999999996,10.0,0.0,0.778,2019-12-06
All I Want,Olivia Rodrigo,0.129,0.0,0.0,0.376,2019-11-27
I Hope You're Happy Now,Carly Pearce & Lee Brice,0.33799999999999997,10.0,1.0,0.5920000000000001,2020-09-11
20/20,Lil Tjay,0.536,4.0,1.0,0.8859999999999999,2020-01-01
ORANGE SODA,Baby Keem,0.107,1.0,1.0,0.83,2019-07-19
Yummy,Justin Bieber,0.494,9.0,0.0,0.687,2020-01-03
Sum 2 Prove,Lil Baby,0.418,4.0,0.0,0.823,2020-01-10
You Should Be Sad,Halsey,0.324,2.0,1.0,0.591,2020-01-17
Rare,Selena Gomez,0.631,5.0,1.0,0.838,2020-01-10
I Don't Care,Ed Sheeran & Justin Bieber,0.8420000000000001,6.0,1.0,0.7979999999999999,2019-05-10
Make No Sense,YoungBoy Never Broke Again,0.9620000000000001,10.0,0.0,0.8759999999999999,2019-10-11
Eleven,Khalid,0.151,4.0,0.0,0.679,2020-05-01
Look At Her Now.,Selena Gomez,0.55,10.0,0.0,0.753,2020-01-10
What A Man Gotta Do,Jonas Brothers,0.324,9.0,1.0,0.852,2020-01-17
Good News,Mac Miller,0.24100000000000002,1.0,0.0,0.794,2020-01-17
Darkness,Eminem,0.195,2.0,1.0,0.6709999999999999,2020-01-17
Those Kinda Nights,Eminem Featuring Ed Sheeran,0.39299999999999996,4.0,0.0,0.794,2020-01-17
Blue World,Mac Miller,0.508,8.0,1.0,0.742,2020-01-17
Circles,Mac Miller,0.37,9.0,1.0,0.61,2020-01-17
Black Swan,BTS,0.49,2.0,0.0,0.7190000000000001,2020-02-21
Leaving Heaven,Eminem Featuring Skylar Grey,0.509,2.0,0.0,0.6609999999999999,2020-01-17
Complicated,Mac Miller,0.601,0.0,1.0,0.831,2020-01-17
Hand Me Downs,Mac Miller,0.336,2.0,1.0,0.677,2020-01-17
Premonition (Intro),Eminem,0.511,1.0,1.0,0.847,2020-01-17
I Can See,Mac Miller,0.0546,5.0,0.0,0.6990000000000001,2020-01-17
In Too Deep,Eminem,0.595,10.0,0.0,0.72,2020-01-17
Woods,Mac Miller,0.46,0.0,1.0,0.779,2020-01-17
Everybody,Mac Miller,0.11199999999999999,9.0,0.0,0.875,2020-01-17
Marsh,Eminem,0.0495,1.0,1.0,0.871,2020-01-17
No Regrets,Eminem Featuring Don Toliver,0.0687,9.0,1.0,0.7559999999999999,2020-01-17
Lock It Up,Eminem Featuring Anderson .Paak,0.516,6.0,0.0,0.848,2020-01-17
Stepdad,Eminem,0.557,1.0,1.0,0.779,2020-01-17
B.I.T.C.H.,Megan Thee Stallion,0.547,11.0,0.0,0.742,2020-01-24
Anyone,Demi Lovato,0.317,11.0,1.0,0.557,2020-01-27
Letter To Nipsey,Meek Mill Featuring Roddy Ricch,0.33799999999999997,7.0,0.0,0.7440000000000001,2020-01-27
Before You Go,Lewis Capaldi,0.183,3.0,1.0,0.45899999999999996,2019-11-22
Homemade,Jake Owen,0.574,6.0,1.0,0.51,2019-03-29
Come Thru,Summer Walker & Usher,0.46,5.0,0.0,0.679,2019-10-04
Underdog,Alicia Keys,0.301,0.0,0.0,0.6559999999999999,2020-01-09
First Man,Camila Cabello,0.223,7.0,1.0,0.5720000000000001,2019-12-06
What If I Told You That I Love You,Ali Gatie,0.22399999999999998,7.0,1.0,0.605,2020-01-24
Unaccommodating,Eminem Featuring Young M.A,0.389,1.0,1.0,0.852,2020-01-17
Dive Bar,Garth Brooks & Blake Shelton,,,,,
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,0.321,1.0,1.0,0.804,2020-01-31
Only The Young,Taylor Swift,0.602,5.0,0.0,0.56,2020-01-31
Mahogany,Lil Wayne,0.41,1.0,0.0,0.466,2020-01-31
Mama Mia,Lil Wayne,0.961,5.0,0.0,0.711,2020-01-31
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,0.539,10.0,0.0,0.754,2020-01-31
Get Me,Justin Bieber Featuring Kehlani,0.75,6.0,0.0,0.8320000000000001,2020-02-14
Catch,Brett Young,0.604,2.0,1.0,0.5660000000000001,2018-12-07
Intentions,Justin Bieber Featuring Quavo,0.86,9.0,1.0,0.8109999999999999,2020-02-07
Yikes,Nicki Minaj,0.66,8.0,1.0,0.9109999999999999,2020-02-07
Run,Joji,0.361,7.0,1.0,0.44799999999999995,2020-09-25
Rodeo,Lil Nas X & Cardi B Or Nas,0.657,9.0,1.0,0.706,2019-06-21
KEII,Anuel AA,0.51,0.0,0.0,0.708,2020-02-07
Believe,Meek Mill Featuring Justin Timberlake,0.374,10.0,0.0,0.628,2020-02-07
No Judgement,Niall Horan,0.9620000000000001,1.0,0.0,0.723,2020-02-07
No Time To Die,Billie Eilish,0.0517,4.0,0.0,0.38,2020-02-13
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",0.455,11.0,0.0,0.8190000000000001,2020-02-14
Forever,Justin Bieber Featuring Post Malone & Clever,0.892,8.0,0.0,0.825,2020-02-14
